@relation occ_all

@attribute DayOfWeek numeric
@attribute HourOfDay numeric
@attribute RealPow_Mean numeric
@attribute RealPow_LastMean numeric
@attribute RealPow_Std numeric
@attribute RealPow_Median numeric
@attribute RealPow_Max numeric
@attribute RealPow_Min numeric
@attribute RealPow_MeanDeriv numeric
@attribute RealPow_StdDeriv numeric
@attribute RealPow_MaxDeriv numeric
@attribute RealPow_Kurt numeric
@attribute RealPow_Iqr numeric
@attribute RealPow_Mcr numeric
@attribute RealPow_FreqPeak numeric
@attribute RealPow_FreqEntropy numeric
@attribute RealPow_FreqEnergy numeric
@attribute RealPow_FreqLastEnergy numeric
@attribute ReactPow_Mean numeric
@attribute ReactPow_LastMean numeric
@attribute ReactPow_Std numeric
@attribute ReactPow_Median numeric
@attribute ReactPow_Max numeric
@attribute ReactPow_Min numeric
@attribute ReactPow_MeanDeriv numeric
@attribute ReactPow_StdDeriv numeric
@attribute ReactPow_MaxDeriv numeric
@attribute ReactPow_Kurt numeric
@attribute ReactPow_Iqr numeric
@attribute ReactPow_Mcr numeric
@attribute ReactPow_FreqPeak numeric
@attribute ReactPow_FreqEntropy numeric
@attribute ReactPow_FreqEnergy numeric
@attribute ReactPow_FreqLastEnergy numeric
@attribute Power_Cluster1 numeric
@attribute Power_Cluster2 numeric
@attribute Power_Cluster4 numeric
@attribute Power_Cluster5 numeric
@attribute Power_Cluster6 numeric
@attribute Power_Cluster7 numeric
@attribute Power_Cluster8 numeric
@attribute Power_Cluster9 numeric
@attribute Power_Cluster10 numeric
@attribute Power_Cluster12 numeric
@attribute Power_Cluster13 numeric
@attribute Power_Cluster14 numeric
@attribute Power_Cluster15 numeric
@attribute Power_Cluster16 numeric
@attribute Power_Cluster17 numeric
@attribute Power_Cluster18 numeric
@attribute Power_Cluster19 numeric
@attribute Water_Mean numeric
@attribute Water_LastMean numeric
@attribute Water_Std numeric
@attribute Water_Median numeric
@attribute Water_Max numeric
@attribute Water_Min numeric
@attribute Water_MeanDeriv numeric
@attribute Water_StdDeriv numeric
@attribute Water_MaxDeriv numeric
@attribute Water_Kurt numeric
@attribute Water_Iqr numeric
@attribute Water_Mcr numeric
@attribute Water_FreqPeak numeric
@attribute Water_FreqEntropy numeric
@attribute Water_FreqEnergy numeric
@attribute Water_FreqLastEnergy numeric
@attribute Water_Cluster1 numeric
@attribute Water_Cluster2 numeric
@attribute Water_Cluster3 numeric
@attribute Water_Cluster4 numeric
@attribute Water_Cluster6 numeric
@attribute Water_Cluster7 numeric
@attribute Water_Cluster8 numeric
@attribute Water_Cluster9 numeric
@attribute label_num {0,1,2,3}

@data
2,0,3295,0,0,3295,3295,3295,0,0,0,0,0,0,0.015152,2.90331,607993400,0,813.76,0,0,813.76,813.76,813.76,0,0,0,1,0,0,0.015152,2.90331,37083498.9056,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.364571,0,5.897258,3.325983,16.15689,-7.523711,7.118165,4.384232,19.322211,2.238877,9.483531,0.542373,0.151515,3.691406,2731.101269,0,0,60,0,0,0,0,0,0,3
2,0,3372.090909,3295,15.113488,3375,3375,3295,1.481481,10.886621,80,25.537736,0,0.018519,0.015152,2.810678,625417175,607993400,777.103273,813.76,7.186463,775.72,813.76,775.72,0.704444,5.176588,38.04,25.537736,0,0.018519,0.015152,2.798565,33216711.1504,37083498.9056,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.686002,3.364571,5.737205,4.138347,12.67286,-11.08908,5.689913,4.956478,19.683995,2.651185,7.306759,0.472727,0.106061,3.741705,2214.371425,2731.101269,0,56,0,0,0,0,0,0,3
2,0,3249.836364,3372.090909,451.042774,3375,3375,1654,31.87037,234.198436,1721,11.828431,0,0.018519,0.015152,2.169269,591864739,625417175,784.605091,777.103273,32.018533,775.72,897.89,775.72,2.262407,16.625231,122.17,11.828431,0,0.018519,0.015152,2.944033,33913643.2468,33216711.1504,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4.091793,2.686002,6.305562,4.079751,18.77534,-9.188748,8.030096,5.752229,24.359768,2.885174,7.664942,0.576271,0.409091,3.676087,3350.413207,2214.371425,0,60,0,0,0,0,0,0,3
2,0,1654,3249.836364,0,1654,1654,1654,0,0,0,0,0,0,0.015152,2.738094,147728664,591864739,901.226481,784.605091,1.703373,902.08,902.08,897.89,0.079057,0.575541,4.19,3.164905,0,0.018868,0.015152,2.738094,43859449.0083,33913643.2468,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,3.003919,4.091793,5.092917,2.990906,16.95591,-7.724707,5.822746,4.263386,17.272501,2.904166,7.566156,0.526316,0.19697,3.991703,2001.819798,3350.413207,0,58,0,0,0,0,0,0,3
2,0,1655.309091,1654,0.959798,1656,1656,1654,0.037037,0.272166,2,1.422515,2,0.018519,0.015152,2.735607,150702700,147728664,896.922182,901.226481,3.781604,894.2,902.08,894.2,0.145926,1.072332,7.88,1.422515,7.88,0.018519,0.015152,2.798565,44246589.2416,43859449.0083,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,3.04057,3.003919,5.963411,2.377012,17.82897,-10.10246,7.232345,5.513047,22.464236,2.918273,7.527342,0.568966,0.439394,3.839995,2608.070504,2001.819798,0,59,0,0,0,0,0,0,3
2,0,1656,1655.309091,0,1656,1656,1656,0,0,0,0,0,0,0.015152,2.90331,153570816,150702700,894.2,896.922182,0,894.2,894.2,894.2,0,0,0,1,0,0,0.015152,2.90331,44777243.84,44246589.2416,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,1.481154,3.04057,5.491095,2.654639,13.62978,-10.53916,6.638808,5.566492,22.108435,2.8359,7.270402,0.525424,0.484848,3.866706,1910.604518,2608.070504,0,60,0,0,0,0,0,0,3
2,0,1642.872727,1656,8.861182,1637,1656,1637,0.351852,2.585573,19,1.682663,19,0.018519,0.015152,2.810678,148450934,153570816,895.201818,894.2,0.676248,895.65,895.65,894.2,0.026852,0.19732,1.45,1.682663,1.45,0.018519,0.015152,2.735607,44076270.935,44777243.84,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,-0.042264,3.18589,6.573544,0.752971,14.02933,-13.94948,7.488408,5.744568,25.91752,2.510302,8.559456,0.491228,0.136364,3.801085,2463.158097,1956.69348,0,58,0,0,0,0,0,0,3
2,0,1630.509091,1642.872727,8.335273,1637,1637,1620,0.314815,2.313407,17,1.236695,17,0.018519,0.015152,2.798565,146224546,148450934,894.775636,895.201818,1.12281,895.65,895.65,893.36,0.042407,0.31163,2.29,1.236695,2.29,0.018519,0.015152,2.773883,44034357.2466,44076270.935,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2.761559,-0.042264,6.988517,2.972594,16.72547,-17.0407,7.291107,6.123681,28.65279,3.172302,9.036607,0.403509,0.015152,3.405622,3226.164374,2463.158097,0,58,0,0,0,0,0,0,3
2,0,1620,1630.509091,0,1620,1620,1620,0,0,0,0,0,0,0.015152,2.735607,144342000,146224546,893.36,894.775636,0,893.36,893.36,893.36,0,0,0,1,0,0,0.015152,2.735607,43895064.928,44034357.2466,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1.042514,2.761559,5.629239,1.288237,13.16015,-9.909009,6.024764,4.472795,22.195975,2.638994,6.203194,0.508475,0.121212,3.670937,1934.821482,3226.164374,0,60,0,0,0,0,0,0,3
2,0,1622.472727,1620,5.912493,1620,1642,1620,0.407407,2.310914,16,9.020671,0,0.018519,0.015152,2.810678,144784864,144342000,894.297455,893.36,1.846869,893.36,899.01,893.36,0.10463,0.560225,3.62,3.923688,0,0.018519,0.015152,2.798565,43987420.7364,43895064.928,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,3.051219,1.042514,5.416678,3.964071,13.51818,-13.15988,5.643973,4.244705,15.024283,3.054744,8.126387,0.40678,0.015152,3.35844,2289.680131,1934.821482,0,60,0,0,0,0,0,0,3
2,0,1629.491228,1622.472727,2.284441,1630,1642,1625,0.392857,2.112117,15,17.607582,0,0.035714,0.015152,3.061982,151349067,144784864,896.607719,894.297455,1.309306,895.94,899.31,895.94,0.065536,0.38712,2.85,3.131031,0,0.017857,0.015152,3.049869,45822703.9312,43987420.7364,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,2.121852,3.051219,6.08845,2.814904,15.06547,-12.60779,6.845588,4.253094,18.910944,2.783332,8.167286,0.457627,0.454545,3.824674,2457.220011,2289.680131,0,60,0,0,0,0,0,0,3
