@relation occ_all

@attribute DayOfWeek numeric
@attribute HourOfDay numeric
@attribute RealPow_Mean numeric
@attribute RealPow_LastMean numeric
@attribute RealPow_Std numeric
@attribute RealPow_Median numeric
@attribute RealPow_Max numeric
@attribute RealPow_Min numeric
@attribute RealPow_MeanDeriv numeric
@attribute RealPow_StdDeriv numeric
@attribute RealPow_MaxDeriv numeric
@attribute RealPow_Kurt numeric
@attribute RealPow_Iqr numeric
@attribute RealPow_Mcr numeric
@attribute RealPow_FreqPeak numeric
@attribute RealPow_FreqEntropy numeric
@attribute RealPow_FreqEnergy numeric
@attribute RealPow_FreqLastEnergy numeric
@attribute ReactPow_Mean numeric
@attribute ReactPow_LastMean numeric
@attribute ReactPow_Std numeric
@attribute ReactPow_Median numeric
@attribute ReactPow_Max numeric
@attribute ReactPow_Min numeric
@attribute ReactPow_MeanDeriv numeric
@attribute ReactPow_StdDeriv numeric
@attribute ReactPow_MaxDeriv numeric
@attribute ReactPow_Kurt numeric
@attribute ReactPow_Iqr numeric
@attribute ReactPow_Mcr numeric
@attribute ReactPow_FreqPeak numeric
@attribute ReactPow_FreqEntropy numeric
@attribute ReactPow_FreqEnergy numeric
@attribute ReactPow_FreqLastEnergy numeric
@attribute Power_Cluster1 numeric
@attribute Power_Cluster2 numeric
@attribute Power_Cluster4 numeric
@attribute Power_Cluster5 numeric
@attribute Power_Cluster6 numeric
@attribute Power_Cluster7 numeric
@attribute Power_Cluster8 numeric
@attribute Power_Cluster9 numeric
@attribute Power_Cluster10 numeric
@attribute Power_Cluster13 numeric
@attribute Power_Cluster14 numeric
@attribute Power_Cluster15 numeric
@attribute Power_Cluster16 numeric
@attribute Power_Cluster17 numeric
@attribute Power_Cluster18 numeric
@attribute Power_Cluster19 numeric
@attribute Water_Mean numeric
@attribute Water_LastMean numeric
@attribute Water_Std numeric
@attribute Water_Median numeric
@attribute Water_Max numeric
@attribute Water_Min numeric
@attribute Water_MeanDeriv numeric
@attribute Water_StdDeriv numeric
@attribute Water_MaxDeriv numeric
@attribute Water_Kurt numeric
@attribute Water_Iqr numeric
@attribute Water_Mcr numeric
@attribute Water_FreqPeak numeric
@attribute Water_FreqEntropy numeric
@attribute Water_FreqEnergy numeric
@attribute Water_FreqLastEnergy numeric
@attribute Water_Cluster1 numeric
@attribute Water_Cluster2 numeric
@attribute Water_Cluster3 numeric
@attribute Water_Cluster4 numeric
@attribute Water_Cluster6 numeric
@attribute Water_Cluster7 numeric
@attribute Water_Cluster8 numeric
@attribute Water_Cluster9 numeric
@attribute label_num {0,1,2,3}

@data
2,0,2651.214545,0,834.363633,3295,3375,1654,6.580292,104.063603,1721,1.13345,1721,0.00365,0.001946,0.393033,2123706678,0,834.405345,0,55.894008,813.76,902.08,775.72,0.628759,7.737421,122.17,1.219097,122.17,0.00365,0.001946,0.390639,192319891.5527,0,0,162,0,0,0,0,0,0,0,0,113,0,0,0,0,0,3.247164,0,5.798076,3.24808,18.77534,-11.08908,6.840798,5.060339,24.359768,2.853998,7.655426,0.565068,0.001946,2.804529,12905.776203,0,0,293,0,0,0,0,0,0,3
2,0,1641.184116,2651.214545,15.190053,1637,1656,1620,0.130435,1.531849,19,1.471445,36,0.003623,0.001946,0.364407,746159111.999999,2123706678,894.346426,834.405345,0.849268,894.2,895.65,893.36,0.013551,0.162882,2.29,1.95671,2.29,0.007246,0.001946,0.364407,221560180.789599,192319891.5527,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,1.690178,3.247164,6.0073,2.120303,16.72547,-17.0407,6.587914,5.237607,28.65279,3.038734,6.954475,0.488136,0.007782,3.544005,11491.44195,12905.776203,0,296,0,0,0,0,0,0,3
2,0,1630.685714,1641.184116,8.846428,1632,1679,1620,0.34767,3.140176,47,20.914095,2,0.010753,0.001946,0.349174,744579886.000001,746159111.999999,896.067607,894.346426,1.350429,896.45,899.31,893.36,0.043907,0.319886,3.62,4.04687,0.51,0.010753,0.001946,0.349174,224822912.6405,221560180.789599,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,-583.59652,1.690178,10122.538766,2.835239,20.06485,-174739.3,1183.007637,14315.216788,174749.8091,296.003192,7.850716,0.006734,0.052529,3.731218,30533834244.244548,11491.44195,0,297,0,0,1,0,0,0,3
2,0,1700.797834,1630.685714,101.155618,1675,1964,1634,1.532609,19.773141,323,5.722408,50,0.003623,0.001946,0.440339,804105735,744579886.000001,879.497292,896.067607,45.773398,894.58,899.49,757.45,0.540435,8.258985,137.13,6.267388,4.17,0.003623,0.001946,0.329566,214842066.3063,224822912.6405,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,2.086018,-583.59652,5.353477,2.102712,19.16174,-13.68351,6.301105,4.447071,29.71333,3.044009,7.220407,0.516779,0.001946,3.468499,9841.685063,30533834244.244548,0,299,0,0,0,0,0,0,3
2,0,1626.007246,1700.797834,32.312564,1633,1964,1535,2.505455,21.386156,325,46.027866,10,0.025455,0.001946,0.364407,730003407.999999,804105735,888.771341,879.497292,18.714116,894.63,1030,757.45,2.032182,16.823384,181.6,22.900846,4.44,0.014545,0.001946,0.364407,218112710.8357,214842066.3063,0,0,1,0,0,0,0,0,0,0,275,0,0,0,0,0,2.235482,2.086018,5.731384,2.103025,18.2581,-12.66057,6.426647,4.718284,23.092983,2.637186,8.045328,0.5,0.001946,3.284883,11283.147352,9841.685063,0,299,0,0,0,0,0,0,3
2,0,1868.496403,1626.007246,349.628433,1772,3013,1535,18.574007,133.956592,1393,6.930059,320,0.021661,0.001946,0.462779,1004436000.000001,730003407.999999,853.318129,888.771341,125.289274,870.03,1329.1,739.15,4.829783,40.060926,461.95,10.00566,135.18,0.00722,0.001946,0.460212,206774389.1992,218112710.8357,0,0,0,0,13,0,0,0,0,0,265,0,0,0,0,0,13.09921,2.235482,19.109942,5.264294,64.8331,-10.2499,7.631561,6.183395,36.64133,3.230066,13.230687,0.085324,0.001946,1.317209,157447.888174,11283.147352,0,294,0,0,0,0,0,0,3
2,0,2044.514493,1868.496403,567.971616,1749,3104,1679,8.930909,81.278329,1327,2.601958,145,0.003636,0.001946,0.517582,1242403638,1004436000.000001,864.547101,853.318129,23.917421,866.55,919.59,826.12,1.737855,6.138205,50.41,2.198002,26.31,0.021818,0.001946,0.385776,206451218.4462,206774389.1992,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,10.265806,13.09921,18.545974,3.218227,71.26996,-12.14048,6.828718,5.675542,38.396618,3.752662,10.1665,0.040268,0.001946,1.264686,134008.680753,157447.888174,0,299,0,0,0,0,0,0,3
2,0,3193.916364,2044.514493,148.790931,3100,3438,3082,4.675182,26.886281,334,1.821189,317.75,0.007299,0.001946,0.376048,2811368992.999999,1242403638,841.291927,864.547101,76.182774,886.1,905,710.59,2.674051,14.536417,172.22,1.82269,158.03,0.014599,0.001946,0.401009,196227574.71,206451218.4462,0,82,0,0,0,0,0,0,0,0,193,0,0,0,0,0,-0.065746,10.265806,5.203483,0.039806,13.41452,-14.48803,6.154024,4.801587,22.56967,3.070207,6.687004,0.543919,0.338521,4.01604,8015.850593,134008.680753,0,297,0,0,0,0,0,0,3
2,0,3092.773381,3193.916364,12.531077,3094.5,3117,3057,3.180505,7.238428,54,2.327695,19,0.097473,0.001946,0.364407,2659182214.999999,2811368992.999999,889.360108,841.291927,4.060643,889.59,901.14,869.08,0.89278,2.441506,17.3,10.521272,4.61,0.083032,0.001946,0.364407,219891837.0351,196227574.71,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,-321.313411,-0.065746,5578.932371,1.771512,17.07784,-96305.4,654.295706,7889.335329,96310.415783,296.002882,6.528677,0.006734,0.322957,3.393159,9274738670.19758,8015.850593,0,298,0,0,0,0,0,0,3
2,0,1840.403571,3092.773381,360.321727,1651,3091,1624,10.741935,85.36501,1351,9.224642,332,0.010753,0.001946,0.575986,984606943.000001,2659182214.999999,815.4565,889.360108,65.668257,851.73,902.92,699.89,2.367599,12.04148,130.93,1.913734,127.14,0.007168,0.001946,0.416458,187394542.2158,219891837.0351,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,163.681689,-321.313411,2804.116904,0.477731,48162.62,-12.77972,334.056813,3964.837581,48161.067177,293.001225,7.744103,0.006803,0.433852,3.91914,2319646603.945964,9274738670.19758,0,295,0,0,0,0,0,0,3
